cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FE_OCPC2287_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_592,0,0,0,67806,41184,68022,41454,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2286_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_524,0,0,0,66132,42804,66348,43074,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_RC_5380_0,0,0,0,26820,48474,26982,48744,0,1,INVxp67_ASAP7_75t_R,1.0755366215697837e-11,0.001248167856829241
FE_RC_5379_0,0,0,0,17694,46854,17856,47124,0,1,INVxp67_ASAP7_75t_R,3.05274000522715e-11,0.0
FE_RC_5378_0,0,0,0,22176,47664,22392,47934,0,0,NOR2xp33_ASAP7_75t_R,4.143419982116647e-11,0.0
FE_RC_5377_0,0,0,0,26874,48204,27036,48474,0,1,INVxp67_ASAP7_75t_R,2.4699877559930528e-11,0.0019902330241166055
FE_RC_5376_0,0,0,0,22878,45774,23040,46044,0,1,INVxp67_ASAP7_75t_R,1.296480024032265e-11,0.0
FE_RC_5375_0,0,0,0,24336,45774,24606,46044,0,0,AOI21xp33_ASAP7_75t_R,1.0674287842515895e-11,0.002821209520334378
FE_RC_5374_0,0,0,0,24282,44964,24444,45234,0,1,INVxp67_ASAP7_75t_R,3.05274000522715e-11,0.0
FE_RC_5373_0,0,0,0,23580,45504,23796,45774,0,0,NAND2xp33_ASAP7_75t_R,4.597660099858736e-11,0.0
FE_RC_5372_0,0,0,0,23796,46584,24066,46854,0,0,AOI21xp5_ASAP7_75t_R,6.62315827182347e-11,0.0
FE_OCPC2285_u_NV_NVDLA_cmac_u_core_u_mac_1_mul_134_55_n_52,0,0,0,28602,25794,28818,26064,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2284_u_NV_NVDLA_cmac_u_core_u_mac_1_mul_126_55_n_187,0,0,0,27252,34704,27468,34974,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2283_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_588,0,0,0,23742,46314,23958,46584,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2282_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_458,0,0,0,27144,43344,27360,43614,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2281_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_43,0,0,0,66240,41724,66456,41994,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2280_n_2679,0,0,0,60678,45234,60948,45504,1,0,BUFx2_ASAP7_75t_R,6.93491861158968e-11,9.762500212673331e-5
FE_OCPC2279_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_43,0,0,0,24336,47394,24552,47664,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2278_u_NV_NVDLA_cmac_u_core_u_mac_0_csa_tree_ADD_TC_OP_6_groupi_n_589,0,0,0,72720,56034,72936,56304,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2277_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_589,0,0,0,23418,46584,23634,46854,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2276_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_632,0,0,0,68346,41454,68562,41724,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_OCPC2275_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_632,0,0,0,23364,45774,23580,46044,1,0,HB1xp67_ASAP7_75t_R,2.8231500470710102e-11,0.0
FE_RC_5371_0,0,0,0,26064,48744,26226,49014,0,1,INVxp67_ASAP7_75t_R,1.0873049856308104e-11,0.00012814978617825545
FE_RC_5370_0,0,0,0,26388,47934,26550,48204,0,1,INVxp67_ASAP7_75t_R,1.9829575481633555e-11,0.00133120731334202
FE_RC_5369_0,0,0,0,26172,48474,26496,48744,0,0,OR2x2_ASAP7_75t_R,1.7013938868881695e-10,0.00859965500421822
FE_RC_5368_0,0,0,0,26334,48204,26658,48474,0,0,AND2x2_ASAP7_75t_R,1.6033764593803568e-10,0.010532639687880874
FE_RC_5367_0,0,0,0,26010,48204,26334,48474,0,0,AND2x2_ASAP7_75t_R,1.6189349860695756e-10,0.0018070479854941368
FE_RC_5366_0,0,0,0,31140,48474,31572,48744,0,0,NAND2x1p5_ASAP7_75t_R,1.3076577320969562e-10,3.4302832318644505e-5
FE_OCPC2274_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_631,0,0,0,67806,41454,68022,41724,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2273_u_NV_NVDLA_cmac_u_core_u_mac_1_csa_tree_ADD_TC_OP_6_groupi_n_631,0,0,0,23364,46044,23580,46314,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
FE_OCPC2272_u_NV_NVDLA_cmac_u_core_u_mac_2_csa_tree_ADD_TC_OP_6_groupi_n_589,0,0,0,67806,41724,68022,41994,1,0,HB1xp67_ASAP7_75t_R,3.701279907564192e-11,0.0
